Practice,Country or Region,System,Author,Title,Link,,,,,,,,,,,,,,,,,,,
Inorganic Fertilizer,Unspecified ,Cereal-based,"Bationo, A. ",Handbook for Integrated Soil Fertility Management,https://publications.cta.int/media/publications/downloads/1853_PDF.pdf,,,,,,,,,,,,,,,,,,,
Inorganic Fertilizer,Unspecified ,"Vegetables, Fruits, Rice","Homenauth, O. ","Fertilizer Manual: Concepts, Application, Storage and Handling",https://studylib.net/doc/8648827/fertilizer-manual---national-agriculture-research-extensi...,,,,,,,,,,,,,,,,,,,
Inorganic Fertilizer,Unspecified ,Rice-based,IRRI,Nitrogen (N),"http://www.knowledgebank.irri.org/training/fact-sheets/nutrient-management/item/nitrogen#:~:text=Nitrogen%20is%20an%20essential%20plant,chlorophyll%2C%20enzymes%2C%20and%20hormones.",,,,,,,,,,,,,,,,,,,
Inorganic Fertilizer,Unspecified ,Rice-based,IRRI,Phosphorus (P),"http://www.knowledgebank.irri.org/training/fact-sheets/nutrient-management/item/phosphorus#:~:text=Phosphorous%20(P)%20is%20an%20essential,%2C%20early%20flowering%2C%20and%20ripening.",,,,,,,,,,,,,,,,,,,
Inorganic Fertilizer,Unspecified ,Rice-based,IRRI,Potassium (K),http://www.knowledgebank.irri.org/ericeproduction/PDF_&_Docs/fs_potassium.pdf,,,,,,,,,,,,,,,,,,,
Organic Fertilizer,Unspecified ,Cereal-based,"Edwards, S.",How to Make and Use Compost,https://www.fao.org/3/i2230e/i2230e14.pdf,,,,,,,,,,,,,,,,,,,
Organic Fertilizer,Unspecified ,Cereal-based,HDRA,Composting in the Tropics,https://www.infonet-biovision.org/sites/default/files/496.compost102.pdf,,,,,,,,,,,,,,,,,,,
Organic Fertilizer,Unspecified ,"Vegetables, Fruits, Rice","Homenauth, O. ","Fertilizer Manual: Concepts, Application, Storage and Handling",https://studylib.net/doc/8648827/fertilizer-manual---national-agriculture-research-extensi...,,,,,,,,,,,,,,,,,,,
Organic Fertilizer,Unspecified ,Cereal-based,FAO,Chapter 7. C-E - Training Manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
Organic Fertilizer,Unspecified ,Rice-based,IRRI,Using organic materials and manures,http://www.knowledgebank.irri.org/training/fact-sheets/nutrient-management/item/using-organic-materials-and-manures,,,,,,,,,,,,,,,,,,,
Composting,Unspecified ,Cereal-based,FAO,Chapter 7.A - Training Manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
pH Control,USA,Unspecified,NC State Extension,Soil Acidity and Liming: Basic Information for Farmers and Gardeners,https://content.ces.ncsu.edu/soil-acidity-and-liming-basic-information-for-farmers-and-gardeners,,,,,,,,,,,,,,,,,,,
pH Control,Unspecified,Unspecified,"Mitchell, CJ",Farmlime: Low-cost lime for small-scale farming,https://www2.bgs.ac.uk/mineralsuk/download/low_cost_lime/farmlime_tech_cr03066n.pdf,,,,,,,,,,,,,,,,,,,
pH Control,Unspecified,Unspecified,"Luiz Oliveira de Almeida Machado, P.","21. Liming Acidic Soils, from Volume 3: Cropland, Grassland, Integrated Systems and Farming Approaches Practices Overview",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/228560/1/v3-p273.pdf,,,,,,,,,,,,,,,,,,,
Biochar,Unspecified,"Cereal-based, Rice-based","Major, J. ",Guidelines on Practical Aspects of Biochar Application to Field Soil in Various Soil Management Systems,https://biochar-international.org/wp-content/uploads/2018/04/IBI_Biochar_Application.pdf,,,,,,,,,,,,,,,,,,,
Biochar,Unspecified,Cereal-based,"Major, J. ",Biochar: a new soil management tool for farmers and gardeners,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiNhcXRhOKEAxW2UUEAHS8XADoQFnoECBoQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fprofile%2FSosanka-Sandilya%2Fpost%2Fwhat_ratio_is_normally_recomended_for_biochar_in_the_soil2%2Fattachment%2F59d63a0679197b8077997362%2FAS%253A404319347200005%25401473408652987%2Fdownload%2FASD%2BGuide%2Bto%2BBiochar%25283%2529.pdf&usg=AOvVaw0V5PE4_yN2zmflKnzgmhtc&opi=89978449,,,,,,,,,,,,,,,,,,,
Green Manure,Kenya,Cereal-based,"Recha, J.",Module 5.2 Cover Crops and Green Manure - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Green Manure,Unspecified,Cereal-based,"Wekesa, A. ",7. Nutrient Management - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,,,,,,,,,https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,Unspecified,Unspecified,"Wekesa, A. ",7. Tillage and residue management - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,Unspecified,Unspecified,"Wekesa, A. ",7. Tillage and residue management - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf
Green Manure,Uganda,Cereal-based,"Lwakuba, A. ",5.3 Trees and shrubs for soil fertility management - Agroforestry handbook for the montane zone of Uganda,https://apps.worldagroforestry.org/downloads/Publications/PDFS/B16763.pdf,,,,,,,,,,,,,,,,,,,
Green Manure,Unspecified,Cereal-based,FAO,Chapter 7.B - Training Manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
