Practice,Crop,AEZ_Class_FAO,N_Obs,N_Pub,Mean_T,Mean_C,Mean_Difference,Se,Lower,Upper
Inorganic Fertilizer,Maize,"Tropics, lowland; humid",2116,87,3.14338781,1.96341671,1.15651869,0.07902049,1.00164137,1.31139601
Inorganic Fertilizer,Maize,"Tropics, lowland; sub-humid",2576,82,2.71742325,1.39459941,1.27750836,0.10714802,1.0675021,1.48751462
Inorganic Fertilizer,Maize,"Tropics, lowland; semi-arid",1248,56,3.06569988,1.65269818,1.35168745,0.12533736,1.10603074,1.59734416
Inorganic Fertilizer,Pearl Millet,"Tropics, lowland; semi-arid",1577,45,1.23627416,0.53555172,0.3010737,0.04107998,0.22055843,0.38158898
Reduced Tillage,Maize,"Tropics, lowland; semi-arid",617,35,2.94895068,1.86429678,0.62008727,0.12281224,0.37937971,0.86079484
Reduced Tillage,Maize,"Tropics, lowland; sub-humid",527,34,3.14695439,2.8593575,0.20500152,0.08852519,0.03149534,0.3785077
Inorganic Fertilizer,Maize,"Tropics, highland; semi-arid",1428,32,2.31678252,1.02594613,1.1145156,0.12087177,0.87761129,1.35141991
Mulch (Trees),Maize,"Tropics, lowland; humid",486,31,1.9802363,1.23904681,1.08119742,0.14796875,0.79118401,1.37121084
Inorganic Fertilizer,Maize,Severe soil/terrain limitations,806,30,2.86483657,2.05504367,0.91074521,0.13925568,0.63780908,1.18368133
Mulch (Herbs),Maize,"Tropics, lowland; humid",418,27,3.27552587,2.2876533,1.03850448,0.17099705,0.70335642,1.37365253
Mulch (Herbs),Maize,"Tropics, lowland; sub-humid",403,26,3.30719467,2.60074365,0.66460427,0.09527451,0.47786967,0.85133888
Mulch (Trees),Maize,"Tropics, lowland; sub-humid",516,26,2.57134631,1.4805027,0.97040744,0.21734721,0.54441473,1.39640016
Intercropping,Maize,"Tropics, lowland; semi-arid",541,26,3.47725489,3.19066725,0.33790892,0.13123528,0.0806925,0.59512535
Green Manure,Maize,"Tropics, lowland; humid",442,24,3.12737022,2.3481835,0.8210759,0.17081329,0.486288,1.15586381
Organic Fertilizer,Pearl Millet,"Tropics, lowland; semi-arid",386,23,0.90444925,0.51443636,0.38827887,0.0806869,0.23013545,0.5464223
Organic Fertilizer,Maize,"Tropics, lowland; humid",227,23,1.44815839,0.84990654,1.14430314,0.0954259,0.95727181,1.33133448
Inorganic Fertilizer,Sorghum,"Tropics, lowland; semi-arid",359,22,1.47561329,0.52516415,0.49191443,0.08557826,0.32418412,0.65964475
Reduced Tillage,Maize,"Tropics, highland; semi-arid",592,22,1.98675265,1.52468493,0.54295618,0.12178208,0.30426768,0.78164467
Alleycropping,Maize,"Tropics, lowland; humid",384,22,1.6683389,1.48744925,0.20062861,0.14850085,-0.09042772,0.49168493
Intercropping,Maize,"Tropics, lowland; sub-humid",350,22,2.64317151,2.52255606,0.09835466,0.07343795,-0.04558108,0.24229041
Organic Fertilizer,Maize,"Tropics, lowland; sub-humid",338,21,3.33129945,1.56149105,1.76148281,0.25389698,1.26385388,2.25911174
Mulch (Trees),Maize,Severe soil/terrain limitations,754,21,2.84649643,1.83945967,0.95492297,0.22296722,0.51791526,1.39193069
Intercropping,Maize,"Tropics, lowland; humid",412,21,2.6553169,2.37380677,0.2863628,0.25163955,-0.20684166,0.77956726
Inorganic Fertilizer,Rice,"Tropics, lowland; humid",487,20,3.13504311,2.31860028,0.85111234,0.1406828,0.57537912,1.12684557
Crop Rotation,Maize,"Tropics, lowland; sub-humid",282,20,2.31536829,1.53133691,0.98229904,0.27917454,0.435127,1.52947108
Mulch (Herbs),Maize,"Tropics, lowland; semi-arid",413,19,3.43564579,2.42752794,0.79687895,0.12168147,0.55838764,1.03537025
Organic Fertilizer,Maize,"Tropics, highland; semi-arid",486,19,2.80037031,1.32590997,1.37488264,0.17270602,1.03638505,1.71338022
Alleycropping,Maize,"Tropics, lowland; sub-humid",342,19,2.75565248,1.62992313,0.6978537,0.2010765,0.30375101,1.0919564
Inorganic Fertilizer,Cassava,"Tropics, lowland; humid",446,18,19.41276764,15.46251532,4.56581881,0.66704617,3.25843234,5.87320529
Water Harvesting,Maize,"Tropics, lowland; semi-arid",167,18,3.60327185,1.76074976,0.74134737,0.21203376,0.32576883,1.15692591
Inorganic Fertilizer,Maize,"Tropics, highland; sub-humid",423,17,3.10571137,1.76218189,1.34000285,0.23048126,0.88826788,1.79173782
Organic Fertilizer,Sorghum,"Tropics, lowland; semi-arid",197,17,1.96878307,1.02783312,0.66714406,0.16759403,0.3386658,0.99562232
Green Manure,Maize,"Tropics, lowland; sub-humid",452,17,2.64328712,1.95556718,0.56990888,0.11301188,0.34840967,0.79140808
Crop Rotation,Maize,"Tropics, lowland; semi-arid",183,17,2.30736541,1.86838643,0.76619313,0.16550995,0.44179959,1.09058667
Crop Residue Incorporation,Maize,"Tropics, lowland; sub-humid",272,16,2.79339033,2.04180512,0.75869958,0.1747993,0.41609926,1.10129991
Mulch (Herbs),Maize,"Tropics, highland; semi-arid",428,16,2.70407779,2.30652898,0.51028316,0.09662766,0.32089643,0.69966989
Reduced Tillage,Maize,"Tropics, lowland; humid",193,16,2.86315367,2.81471614,0.09700969,0.21258882,-0.31965674,0.51367613
Reduced Tillage,Maize,Severe soil/terrain limitations,483,16,2.79429086,2.12103253,0.29139395,0.14181675,0.01343823,0.56934966
Inorganic Fertilizer,Maize,"Tropics, highland; humid",330,15,3.15586836,2.16201161,0.89918241,0.12889759,0.64654777,1.15181705
Crop Residue Incorporation,Maize,"Tropics, lowland; humid",105,15,2.86902724,2.33393423,0.59227051,0.24666321,0.10881951,1.07572151
Crop Rotation,Maize,"Tropics, highland; semi-arid",362,15,2.33413856,1.55066741,0.81424765,0.12115319,0.57679176,1.05170354
Inorganic Fertilizer,Groundnut,"Tropics, lowland; semi-arid",185,14,1.48233985,1.16665303,0.32973511,0.05341505,0.22504354,0.43442667
Inorganic Fertilizer,Rice,"Tropics, lowland; sub-humid",262,14,3.80235991,2.55893609,0.93990862,0.23870687,0.47205175,1.40776549
Water Harvesting,Sorghum,"Tropics, lowland; semi-arid",217,14,2.02575798,1.56669135,0.51734691,0.17706355,0.17030872,0.86438509
Water Harvesting,Maize,"Tropics, lowland; sub-humid",130,14,3.06804723,2.6147882,0.42028013,0.14413203,0.13778654,0.70277373
Crop Rotation,Maize,"Tropics, lowland; humid",163,14,3.02936558,2.29184736,0.85099658,0.20522924,0.44875467,1.25323849
Intercropping,Cowpea,"Tropics, lowland; semi-arid",195,14,0.40381343,0.78823072,-0.32973472,0.06931467,-0.46558897,-0.19388046
Intercropping,Cassava,"Tropics, lowland; humid",309,14,17.91550389,19.63451347,-2.51959538,1.13423977,-4.74266448,-0.29652629
Inorganic Fertilizer,Cowpea,"Tropics, lowland; semi-arid",276,12,0.50763526,0.48551142,0.07140242,0.03844365,-0.00394576,0.14675059
Inorganic Fertilizer,Common Bean,"Tropics, highland; humid",148,12,1.28857287,0.99066118,0.33524006,0.10263797,0.13407333,0.53640679
Mulch (Herbs),Maize,Severe soil/terrain limitations,356,12,2.38692094,2.00729761,0.37535267,0.08457828,0.20958228,0.54112306
Organic Fertilizer,Maize,"Tropics, lowland; semi-arid",118,12,2.06054522,0.89236954,1.15018755,0.19697994,0.76411395,1.53626114
Water Harvesting,Maize,"Tropics, highland; semi-arid",329,12,2.95042798,2.55915008,0.538148,0.22153421,0.10394893,0.97234708
Mulch (Trees),Pearl Millet,"Tropics, lowland; semi-arid",90,12,0.87353334,0.53464258,0.37363368,0.07191276,0.23268726,0.51458011
Mulch (Trees),Maize,"Tropics, highland; sub-humid",182,12,1.52063427,2.09181057,0.80418569,0.97159051,-1.10009672,2.70846809
