Practice,Crop,N_Obs,N_Pub,Mean_T,Mean_C,Mean_Difference,Se,Lower,Upper
Inorganic Fertilizer,Maize,9066,284,2.90795846,1.72762414,1.23312695,0.05016135,1.13481251,1.33144139
Reduced Tillage,Maize,2560,113,2.71202681,2.06095621,0.39089984,0.06334146,0.26675286,0.51504681
Mulch (Trees),Maize,2925,107,2.43848693,1.65084691,1.03806436,0.10048389,0.84111955,1.23500916
Mulch (Herbs),Maize,2268,105,3.04053695,2.25082777,0.75254061,0.06382183,0.62745212,0.8776291
Organic Fertilizer,Maize,1556,94,2.34757006,1.28412375,1.29489048,0.07217212,1.15343573,1.43634523
Intercropping,Maize,1791,90,3.39376237,2.58409362,0.15333579,0.07193092,0.01235379,0.2943178
Crop Rotation,Maize,1259,68,2.39384095,1.72476221,0.74580814,0.10239602,0.54511563,0.94650066
Alleycropping,Maize,1435,66,2.22739435,1.71527687,0.37175322,0.111808,0.15261356,0.59089288
Water Harvesting,Maize,929,62,2.66030038,1.63258106,0.55636184,0.09944823,0.36144689,0.75127679
Green Manure,Maize,1168,61,2.65513126,2.0625135,0.72690375,0.09687915,0.53702411,0.9167834
Crop Residue Incorporation,Maize,885,56,2.87257494,2.18508257,0.7052926,0.11348779,0.48286062,0.92772459
Inorganic Fertilizer,Rice,1552,53,3.68810861,2.46106023,1.23954267,0.12592698,0.99273032,1.48635503
Inorganic Fertilizer,Pearl Millet,1688,48,1.23106445,0.5360114,0.29056332,0.04458089,0.20318638,0.37794026
Inorganic Fertilizer,Sorghum,991,36,1.67682631,0.71958558,0.66612576,0.09660665,0.47678021,0.85547131
Inorganic Fertilizer,Cowpea,747,35,0.76960191,0.61907372,0.20918462,0.0618498,0.08796125,0.33040799
Inorganic Fertilizer,Common Bean,693,30,1.18449365,0.92679378,0.26486519,0.05284791,0.16128519,0.36844518
Intercropping,Cowpea,319,29,0.5789456,0.87905129,-0.27511713,0.06837527,-0.4091302,-0.14110405
Inorganic Fertilizer,Soybean,432,28,1.13818961,0.79213717,0.35588825,0.05524067,0.24761852,0.46415797
Inorganic Fertilizer,Cassava,620,28,18.51543033,14.94319743,4.01787466,0.65098799,2.74196165,5.29378767
Organic Fertilizer,Sorghum,634,27,2.06212893,1.17275825,0.7446547,0.09172397,0.56487903,0.92443037
Inorganic Fertilizer,Groundnut,329,26,1.2363476,0.99074693,0.19337657,0.04677528,0.10169872,0.28505443
