Practice,Outcome,Product,Is.Combo,Observations,Studies,Value,Sig,Value.se,CIlow,CIhigh,Source
Inorganic Fertilizer,Crop Yield,Sorghum,FALSE,497,30,0.435,0,0.05,0.33738,0.5331,Easy
Inorganic Fertilizer,Crop Yield,Cotton,FALSE,91,5,0.297,0.058,0.123,0.05605,0.53813,Easy
Inorganic Fertilizer,Crop Yield,Groundnut,FALSE,223,25,0.187,0,0.038,0.11303,0.26101,Easy
Inorganic Fertilizer,Crop Yield,Pearl Millet,FALSE,962,43,0.387,0,0.06,0.26869,0.50536,Easy
Inorganic Fertilizer,Crop Yield,Maize,FALSE,5323,262,0.583,0,0.027,0.53049,0.63521,Easy
Crop Residue,Crop Yield,Pearl Millet,FALSE,101,4,0.227,0.075,0.109,0.01322,0.44063,Easy
Inorganic Fertilizer,Crop Yield,Wheat,FALSE,151,19,0.325,0.036,0.145,0.04165,0.60905,Easy
Crop Residue Incorporation,Crop Yield,Wheat,FALSE,17,4,0.17,0.242,0.117,-0.05882,0.3979,Easy
Reduced Tillage,Crop Yield,Wheat,FALSE,108,10,-0.017,0.787,0.058,-0.13118,0.09811,Easy
Mulch (Herb),Crop Yield,Wheat,FALSE,31,5,0.116,0.053,0.043,0.03267,0.1996,Easy
Organic Fertilizer,Crop Yield,Pearl Millet,FALSE,246,22,0.574,0.006,0.184,0.21238,0.93464,Easy
Mulch (Herb),Crop Yield,Pearl Millet,FALSE,142,9,0.456,0.041,0.177,0.10949,0.80206,Easy
Water Harvesting,Crop Yield,Pearl Millet,FALSE,50,4,0.355,0.351,0.102,0.15502,0.55532,Easy
Organic Fertilizer,Crop Yield,Groundnut,FALSE,69,9,0.297,0.027,0.113,0.0755,0.51936,Easy
Reduced Tillage,Crop Yield,Pearl Millet,FALSE,20,6,-0.232,0.004,0.072,-0.38137,-0.08188,Easy
Organic Fertilizer,Water Use Efficiency,Pearl Millet,FALSE,36,5,0.658,0,0.077,0.50198,0.81453,Easy
Inorganic Fertilizer,Water Use Efficiency,Maize,FALSE,822,27,0.497,0,0.06,0.37952,0.61492,Easy
